scramble,crossp_,crossp_z,crossp_z2,crossp_z',crossp_x,crossp_x',xcp_,xcp_z,xcp_z2,xcp_z',xcp_x,xcp_x',xxcp_,xxcp_z,xxcp_z2,xxcp_z',xxcp_x,xxcp_x',xxxcp_,xxxcp_z,xxxcp_z2,xxxcp_z',xxxcp_x,xxxcp_x'
22001,7,5,7,7,5,8,9,8,7,8,8,9,10,10,11,10,10,11,11,13,13,13,12,13
23001,6,6,6,6,5,5,7,8,8,6,6,8,10,10,9,8,9,10,12,13,12,12,12,12
24001,7,7,7,7,6,7,9,9,8,8,8,8,10,10,9,10,9,11,13,11,12,12,12,13
25001,7,7,6,6,6,6,8,7,8,9,7,8,11,10,10,10,11,10,12,12,12,13,12,13
26001,3,4,6,6,5,6,3,4,8,8,7,8,7,5,10,10,8,9,10,8,13,12,10,10
27001,6,6,7,7,7,6,8,8,9,9,9,8,11,11,10,9,11,10,13,12,13,13,13,11
28001,7,7,6,4,5,6,7,8,9,7,7,9,9,11,10,9,10,11,12,13,13,12,12,13
29001,6,4,5,6,7,6,7,7,7,7,8,8,10,10,9,10,10,10,12,12,12,12,12,12
30001,7,6,6,5,6,7,8,8,8,7,8,8,10,10,10,10,9,11,12,12,12,12,12,13
31001,7,6,4,7,7,6,9,6,6,8,9,8,11,9,8,10,9,9,12,12,11,13,11,12
32001,7,6,6,5,5,6,8,8,8,8,7,7,9,10,11,10,9,9,12,11,12,13,12,11
33001,6,6,6,6,4,7,8,7,9,7,8,8,9,9,10,10,9,10,12,12,13,12,12,12
34001,7,6,6,6,7,6,8,8,8,8,9,8,10,10,10,10,11,10,12,11,13,12,13,12
35001,6,7,6,6,7,7,8,9,8,8,8,9,10,10,10,10,9,10,12,12,12,11,12,12
36001,6,6,6,6,7,6,8,9,8,9,8,8,10,10,11,11,10,11,12,12,13,13,12,12
37001,7,6,7,7,7,6,9,7,7,8,9,8,11,10,9,10,11,10,13,13,12,12,12,13
38001,6,6,6,6,7,7,7,8,8,9,8,8,9,9,10,10,10,10,12,12,11,13,12,12
39001,6,6,5,5,7,6,8,7,7,8,8,7,9,10,10,9,9,10,12,13,12,12,12,11
40001,6,7,7,6,7,7,8,9,8,8,9,8,10,10,10,9,10,9,12,13,12,11,13,11
41001,6,5,5,7,6,6,8,7,6,8,7,7,10,9,8,10,8,7,12,11,10,12,11,10
