id,pseudo_cross_z0,pseudo_cross_z1,pseudo_cross_z2,pseudo_cross_z3,pseudo_cross_x1,pseudo_cross_x3,pseudo_xcross_z0,pseudo_xcross_z1,pseudo_xcross_z2,pseudo_xcross_z3,pseudo_xcross_x1,pseudo_xcross_x3,pseudo_xxcross_z0,pseudo_xxcross_z1,pseudo_xxcross_z2,pseudo_xxcross_z3,pseudo_xxcross_x1,pseudo_xxcross_x3,pseudo_xxxcross_z0,pseudo_xxxcross_z1,pseudo_xxxcross_z2,pseudo_xxxcross_z3,pseudo_xxxcross_x1,pseudo_xxxcross_x3
22001,5,4,6,6,5,7,6,5,7,7,6,8,8,8,8,8,8,9,10,10,11,11,10,11
23001,6,5,6,5,5,5,6,7,6,5,5,6,8,9,7,6,7,9,10,11,9,7,10,10
24001,5,6,6,6,5,6,7,6,6,8,6,7,9,8,8,10,8,8,11,10,10,11,10,10
25001,6,6,5,4,6,5,7,7,7,6,7,6,9,9,8,8,9,9,11,11,10,10,11,10
26001,3,4,5,5,5,6,3,4,6,6,5,6,5,5,9,9,6,8,9,7,11,10,8,10
27001,5,6,6,6,6,5,7,7,7,7,7,6,8,9,8,8,9,8,11,11,11,12,11,11
28001,6,6,5,4,4,6,6,7,6,6,5,7,8,9,8,8,8,9,9,11,10,10,10,11
29001,5,4,4,6,7,5,6,7,6,6,7,6,8,8,8,9,9,8,11,10,11,10,11,10
30001,6,6,4,4,5,6,7,7,6,6,7,7,8,8,7,7,8,8,11,10,10,9,10,10
31001,6,6,4,6,6,5,7,6,5,6,7,6,8,7,8,8,9,8,10,10,8,10,10,9
32001,5,5,5,4,5,5,7,6,7,6,7,6,8,7,9,8,9,7,10,9,11,10,11,10
33001,5,5,5,5,4,6,6,6,6,7,6,6,7,8,8,9,8,8,10,11,10,11,10,9
34001,6,6,5,6,6,5,7,6,6,7,7,6,8,8,9,8,9,8,10,10,11,11,11,10
35001,6,7,5,5,6,6,7,7,7,6,6,6,8,9,7,8,9,8,11,11,10,10,10,10
36001,5,5,5,6,5,5,7,7,7,6,6,7,9,9,9,9,8,8,11,10,10,11,11,10
37001,5,5,6,6,6,5,7,5,7,7,8,7,8,8,7,10,9,9,11,10,10,11,11,11
38001,5,4,6,6,6,6,6,6,7,7,7,7,7,8,8,9,9,8,10,9,11,11,11,11
39001,6,5,4,4,5,5,7,6,6,5,6,6,9,9,8,6,8,7,9,11,10,9,10,10
40001,5,6,5,5,7,7,6,7,7,7,7,7,8,9,8,8,9,9,10,11,9,9,10,9
41001,4,4,5,5,4,4,5,6,5,6,5,5,7,7,7,8,6,6,10,9,9,10,9,9
