id,cross_z0,cross_z1,cross_z2,cross_z3,cross_x1,cross_x3,xcross_z0,xcross_z1,xcross_z2,xcross_z3,xcross_x1,xcross_x3,xxcross_z0,xxcross_z1,xxcross_z2,xxcross_z3,xxcross_x1,xxcross_x3,xxxcross_z0,xxxcross_z1,xxxcross_z2,xxxcross_z3,xxxcross_x1,xxxcross_x3,xxxxcross_z0,xxxxcross_z1,xxxxcross_z2,xxxxcross_z3,xxxxcross_x1,xxxxcross_x3
22001,6,5,6,6,5,7,7,7,7,8,7,9,9,9,10,10,9,10,11,12,11,11,10,12,14,13,14,14,14,14
23001,6,6,6,6,5,5,7,8,7,6,5,7,10,9,9,8,8,9,12,11,11,11,11,12,13,13,13,12,12,14
24001,6,7,6,7,6,6,8,8,7,8,7,8,10,9,9,10,9,10,12,11,11,11,11,12,14,13,14,14,14,13
25001,6,6,6,5,6,6,8,7,7,7,7,7,10,10,9,9,9,9,12,12,10,12,12,12,14,14,13,15,15,14
26001,3,4,6,6,5,6,3,4,8,7,5,6,5,5,10,10,7,8,9,8,11,11,9,10,12,11,14,13,12,13
27001,6,6,7,7,6,5,7,8,8,8,7,7,9,10,9,9,11,9,12,12,12,12,12,11,14,14,14,14,14,14
28001,6,7,5,4,5,6,7,7,8,6,6,8,9,10,10,8,9,10,11,13,12,10,12,13,14,14,14,13,13,14
29001,6,4,5,6,7,5,7,7,7,7,8,7,9,10,9,10,9,9,11,10,11,12,12,11,14,14,13,13,14,13
30001,7,6,5,4,5,7,8,7,7,6,8,8,10,10,9,9,9,9,12,11,12,10,11,11,13,13,14,12,14,14
31001,7,6,4,7,7,5,9,6,5,8,8,7,10,7,8,9,9,9,11,11,8,11,10,11,13,12,13,13,13,13
32001,6,5,6,5,5,5,7,7,8,7,7,6,8,8,10,9,9,9,10,10,12,12,11,11,13,13,13,14,14,13
33001,5,5,6,6,4,6,7,7,8,7,6,8,9,9,9,9,9,9,11,12,12,11,11,11,13,14,14,13,12,14
34001,6,6,5,6,6,5,7,7,7,8,9,7,9,9,10,10,10,9,11,11,12,12,12,11,13,13,13,15,13,13
35001,6,7,6,6,6,7,8,8,8,7,7,8,9,10,9,10,9,10,12,12,11,11,10,12,14,13,14,13,12,14
36001,5,5,6,6,6,6,8,8,7,8,8,8,9,10,10,10,10,10,11,12,11,12,11,12,14,14,14,14,14,14
37001,6,5,7,6,6,5,8,6,7,8,8,8,10,9,8,10,10,10,12,12,11,12,12,11,14,14,14,14,14,14
38001,5,4,6,6,6,6,6,7,7,8,7,7,9,9,8,10,10,10,11,11,11,11,11,11,14,13,13,14,14,14
39001,6,6,4,4,6,5,7,6,7,6,7,7,9,9,9,9,9,9,11,12,11,11,11,11,12,14,14,13,14,13
40001,6,6,6,5,7,7,8,8,7,7,8,8,9,10,9,8,9,9,11,12,11,9,12,10,14,14,13,13,14,13
41001,5,4,5,6,5,5,7,6,6,7,6,7,9,7,8,9,8,7,10,9,10,11,10,10,13,12,11,13,13,12
