id,eo_cross_z0,eo_cross_z1,eo_cross_z2,eo_cross_z3,eo_cross_x1,eo_cross_x3,eo_xcross_z0,eo_xcross_z1,eo_xcross_z2,eo_xcross_z3,eo_xcross_x1,eo_xcross_x3,eo_xxcross_z0,eo_xxcross_z1,eo_xxcross_z2,eo_xxcross_z3,eo_xxcross_x1,eo_xxcross_x3,eo_xxxcross_z0,eo_xxxcross_z1,eo_xxxcross_z2,eo_xxxcross_z3,eo_xxxcross_x1,eo_xxxcross_x3,eo_xxxxcross_z0,eo_xxxxcross_z1,eo_xxxxcross_z2,eo_xxxxcross_z3,eo_xxxxcross_x1,eo_xxxxcross_x3
22001,8,6,7,6,8,7,8,8,8,9,9,9,11,10,11,9,11,10,12,11,12,13,12,12,15,15,15,14,15,14
23001,7,6,7,7,7,7,8,7,7,9,8,7,10,9,9,11,9,10,12,12,11,12,12,12,13,15,13,15,14,14
24001,8,7,7,8,7,8,9,9,9,8,9,8,11,10,11,9,11,10,12,12,12,13,12,13,14,14,14,14,14,14
25001,7,6,8,8,7,7,8,9,9,9,8,9,11,10,11,10,11,11,13,12,12,13,13,13,15,14,15,15,15,15
26001,5,7,7,6,7,7,5,8,8,6,8,7,8,10,10,8,9,9,9,11,11,10,10,10,12,14,15,13,14,13
27001,7,8,7,6,8,8,9,10,8,8,9,9,10,11,11,11,11,11,12,13,13,13,11,13,14,15,15,15,15,15
28001,8,7,6,8,8,7,8,9,7,9,9,8,10,11,10,11,11,10,12,13,13,13,13,13,15,15,14,15,15,15
29001,7,7,8,6,7,8,8,8,9,8,9,9,10,9,10,10,10,10,12,12,12,13,12,12,15,14,15,15,14,15
30001,7,6,4,6,8,5,9,7,6,8,9,9,10,9,9,10,11,10,12,12,11,12,11,12,14,14,14,15,15,15
31001,8,5,7,7,7,7,9,8,9,8,8,9,10,9,10,9,10,10,12,11,12,12,11,12,14,15,14,15,14,13
32001,8,7,7,7,7,7,8,8,8,7,8,9,10,10,10,10,10,10,12,13,12,11,11,11,14,14,15,13,15,14
33001,7,7,7,7,7,7,8,8,8,8,8,9,10,11,10,10,10,10,12,12,11,12,12,12,14,14,14,14,15,15
34001,7,7,7,7,7,7,9,8,8,9,9,9,11,11,11,10,11,11,12,12,12,11,11,13,14,15,15,14,14,14
35001,7,7,7,8,8,8,9,8,9,9,9,8,10,10,10,11,10,10,12,12,12,13,12,12,14,14,15,14,15,14
36001,8,7,8,7,7,7,9,9,8,9,9,9,11,11,11,10,10,10,12,13,12,12,13,13,15,15,15,14,15,14
37001,7,8,8,6,5,8,9,9,9,8,9,9,11,10,11,9,10,10,12,12,12,12,12,13,15,15,15,14,15,14
38001,7,8,7,7,7,8,8,8,9,9,9,8,10,10,11,10,11,11,11,11,13,12,12,11,14,14,15,13,14,15
39001,8,5,7,7,7,7,8,8,8,9,8,8,9,10,10,10,10,10,12,11,12,12,12,12,15,15,14,14,15,14
40001,7,7,6,8,7,7,8,8,7,9,8,9,10,10,8,11,9,10,12,12,11,13,12,12,15,15,14,14,14,15
41001,7,7,8,6,7,7,8,8,9,8,9,8,9,9,9,9,9,9,12,10,12,11,10,11,13,13,14,15,12,13
